CSI,COM_CAT#1,COM_CAT#2,COM_CAT#3,BASE_TYPE,ARPU_GROUP,COM_CAT#7,COM_CAT#8,DEVICE_TYPE_ID,INTERNET_TYPE_ID,COM_CAT#23,COM_CAT#28,COM_CAT#31,COM_CAT#34,SUM_MINUTES,SUM_DATA_MB,SUM_DATA_MIN,CONN_COUNT
1,8,19,5,2,11,2,1620,5,2,0.0381567161442737,0.0842424821499922,0.106536121612606,9,0.0852361301105035,0.0024177443572892,0.0421660921166794,0.0126100880704564
0,8,44,3,2,7,1,1300,5,1,0.0332764698795391,0,0.00854592241954443,9,0.0225853994250052,0,0,0.00860688550840672
0,8,19,3,2,12,1,1051,5,1,0.0650618019021611,0.108194499939197,0.673074784763478,9,0.0820132373142759,0,0,0.0416333066453163
0,8,29,5,2,11,1,1633,5,2,0.0585594630506864,0,0.00306175937986466,2,0.02779691007091,0.216771674817687,0.420636783881051,0.136108887109688
0,8,15,4,2,10,2,1275,5,2,0.0294787827146741,0.294557701996074,0.205481383232201,2,0.269896556946234,2.43496839066994E-05,0.00164183651849,0.0802642113690953
0,8,40,1,2,7,2,1274,5,2,0.0266519066135631,0.0247619998957664,0.185955221272675,8,0.249127041443397,0.0269596649545845,0.321551888127463,0.175340272217774
0,8,44,5,2,2,3,204,2,3,0.00688123453642899,0.000946788735819884,0.0340526416113353,4,0.030099288669737,0,0,0.00480384307445957
0,8,62,5,2,9,1,1577,5,1,0.00537962030112604,0,0.18563355783588,2,0.0541135618958789,0.00144291083002127,0.0253531201234781,0.00640512409927942
1,8,62,7,2,9,2,1431,3,3,0.0416016985701489,0.317486927366538,0.123699447215427,8,0.116850660069891,0,0,0.000400320256204964
1,8,52,5,2,9,1,892,5,1,0.033367265158883,0.0089901499226934,0.269881580201417,1,0.213448911707074,0,0,0.0330264211369095
0,8,52,5,2,12,1,923,5,1,0.0615068175032346,0.0276609975157653,0.12389403373892,1,0.158342680101578,0,0,0.0438350680544436
0,8,12,4,2,6,3,1268,3,3,0.0192119318965562,0.0166057189514098,0.0986255837595705,3,0.0941482839114544,0,0,0.00860688550840672
0,8,52,15,2,12,2,694,5,2,0.108062096986819,0.049741153171308,0.0583263176287448,2,0.0829129794603426,0.00230588277786048,0.0335493115452844,0.0882706164931946
0,8,3,3,2,7,1,1486,5,2,0.0293268752280795,0.0384166044160311,0.0506997172538679,9,0.0560879677692583,0.000492850072160015,0.0173540387848307,0.0426341072858287
1,8,76,5,2,8,7,1290,5,1,0.029735453985127,0.0422645623056477,0.053507322807129,10,0.0355141434719916,0,0,0.0132105684547638
0,8,15,6,2,8,2,558,5,2,0.0395361059650752,0,0.0550739428789275,2,0.0443792867581195,4.5370352958299E-05,0.00105166619496345,0.0630504403522818
0,8,40,12,1,12,3,1493,5,1,0.0457154231496533,0.0539452426037559,0.155895574546494,9,0.129196703315034,0.00567048135027425,0.245068613486382,0.0608486789431545
0,8,12,5,2,12,1,1140,3,3,0.0646375085775348,0.340937320848462,0.231289910093084,1,0.365038602590315,0.000116059032941671,0.0029329887579977,0.0150120096076861
0,8,44,5,2,12,1,584,5,2,0.056432758238362,0.0694261070479301,0.135845220319598,2,0.181202484941914,0.000262613623368687,0.00546185931490136,0.0356285028022418
0,8,13,5,2,4,3,1694,5,1,0.0101027208900731,0.000308357799280788,0.0493376115894145,10,0.0315871988169397,2.22676578936437E-08,2.47450869403165E-06,0.00380304243394716
1,8,13,4,2,3,3,1361,5,1,0.00716758887897513,0,0.0132874797471169,10,0.0138831491338967,0,0,0.00340272217774219
0,8,19,5,2,12,1,1073,5,2,0.290186950972295,0.0252158504594966,0.0888962575849033,2,0.0292771666113852,0.00139729553282614,0.0884783008786057,0.0434347477982386
0,8,3,5,2,10,2,1379,5,3,0.04554780109548,0.0731090283689175,0.189745687327255,9,0.198650713410439,0.0213677773028458,0.910750657678018,0.0156124899919936
0,8,40,5,2,8,1,894,5,1,0.0300305386429947,0.0443514062852874,0.152400959430695,8,0.117587509155343,0.00520325021852087,0.144594899728269,0.0330264211369095
0,8,19,5,2,6,4,1252,3,3,0.0144050202805225,0.0223863419210257,0.0232372049432919,3,0.0362302201781358,6.60236056546535E-06,0.00183546682379798,0.00960768614891913
0,8,40,2,2,8,2,1510,5,2,0.0329115426990992,0.0610309573858208,0.0378649490103885,2,0.04974713143912,0.124087726065856,0.590940746342756,0.0652522017614091
1,8,19,5,2,12,1,685,5,2,0.0732071860971474,0.0267294095165297,0.0468615973568002,2,0.0800989607283003,0.0168420873787127,0.972324940109157,0.128502802241793
1,8,52,5,2,6,1,926,3,3,0.0253144223063049,0.0122213922137484,0.0586201829907552,10,0.105544294556582,0,0,0.0158126501200961
1,8,15,2,2,12,2,1276,5,2,0.0655192704250092,0.260434219898198,0.164620198875369,2,0.0960068038281107,5.55021372999068E-05,0.0066660944365312,0.110088070456365
0,8,15,11,1,8,1,960,3,3,0.0249494951258649,0.134984712402064,0.0909632430028275,3,0.0518625659707954,2.00408921042793E-07,0.000198424665902663,0.0418334667734187
1,8,3,5,2,7,1,906,3,3,0.0268334971722509,0.00350702708336953,0.0663003939384312,6,0.194460296623531,0.188297920464624,0.586469850431418,0.00920736589271417
0,8,3,5,2,12,2,118,5,2,0.0814608262021208,0.0508290916039817,0.139524494075039,2,0.195164348088786,0.199059222628715,0.662263046460448,0.144115292233787
0,8,44,1,2,12,1,741,5,1,0.0692558453826235,0.276095321647586,0.291437001620231,2,0.239417910843866,0,0,0.094275420336269
0,8,40,5,2,11,1,126,5,2,0.0494432677919461,0.0551482723277105,0.183078120532452,2,0.175025636647168,0.0556542699386366,0.53237925557499,0.19675740592474
0,8,12,5,2,12,2,1325,5,2,0.0720530384116413,0.0520603512673071,0.221518886806239,2,0.305287164265707,0.250730810614784,0.791232506383461,0.0446357085668535
1,8,76,1,2,12,6,1617,5,2,0.096789513843661,0.00858190156871601,0.00993781173555294,2,0.00171967825614809,0.00903080453237244,0.720397529821699,0.00880704563650921
1,8,44,3,2,7,1,558,5,2,0.0272595365599415,0.0330637736045724,0.113600803761477,7,0.145177795393157,0.00220388577087865,0.01194166964381,0.184747798238591
0,8,76,5,2,8,1,1320,5,2,0.0372871767382494,0.0225709222938346,0.165930679543794,2,0.182610586822907,0.250428404686759,0.710034596724677,0.120496397117694
0,8,12,5,2,12,2,468,5,1,0.0889793737570214,0.0202039504542849,0.0492423039044382,2,0.0982512414492189,0.0139625897335119,0.165212119524957,0.0192153722978383
1,8,15,13,1,5,3,555,5,2,0.0082536401049733,0,0.202923960352003,10,0.180100491449646,0,0,0.00740592473979183
0,8,3,12,1,5,3,568,5,2,0.0165020420207537,0,0,9,0.0134371046346451,0.00482380932801319,0.0347878031466472,0.0334267413931145
0,8,44,5,2,5,8,1251,3,3,0.0157721876598739,0.0368531000816497,0.00340526416113353,5,0.010867972652939,1.00204460521396E-07,1.90227855853683E-05,0.00380304243394716
0,8,13,3,2,5,2,1351,5,1,0.0143020025597284,0,0.0718004415922737,10,0.0178581967859455,0,0,0.00280224179343475
0,8,40,7,2,12,2,115,5,2,0.0511439332165799,0.142765317999409,0.201718715252407,2,0.253191736588679,0.0108437815689281,0.375190343848448,0.293434747798239
